Template,Announce_date,PSE_Form_No,RC_No,Files
Reply to Exchange's Query,"May 28, 2019 12:55 PM",4-32,C03684-2019,"1qcdqi79Hosm5wnUHNpqIdGfhnw7fFM4r"
Reply to Exchange's Query,"May 28, 2019 12:54 PM",4-32,C03683-2019,"1ethZZorULFLjmqNtoelsdPw3nh_zQ7IG"
Acquisition or Disposition of Assets,"May 28, 2019 11:49 AM",4-1,C03677-2019,"1CDXeAfrh4CGIflGZqBIy95lR7_VVkPEW"
Reply to Exchange's Query,"May 22, 2019 02:38 PM",4-32,C03533-2019,"1mt3eRlUVf5Bd64dtBVcn6HEmA1U3A6i1"
Request for extension to file SEC Form 17-Q,"May 15, 2019 08:44 AM",17-4,CR02934-2019,"1u-4lQ36UHsQRJhlgiH0BzVf5te4hgWCa"
Material Information/Transactions,"May 09, 2019 08:45 AM",4-30,C03129-2019,"1OUi0gK8KYgVtScIJcw4neWmsKZxmG7_4"
Request for extension to file SEC Form 17-A,"Apr 12, 2019 03:34 PM",17-3,CR01989-2019,"17TqxTMlzIY-g5vDEYmlN5GE2n8lpSZI8"
Change in Directors and/or Officers (Resignation, Removal or Appointment, Election and/or Promotion),"Mar 11, 2019 08:29 AM",4-8,C01449-2019,"1ylcdgtEWFF3REjpAQIzrEs5tbD04kizL"
Change in Directors and/or Officers (Resignation, Removal or Appointment, Election and/or Promotion),"Mar 06, 2019 10:53 AM",4-8,C01345-2019,"1fhvm2eX6isljDPVcjxmFGHmTyWaOlR5y"
Material Information/Transactions,"Dec 05, 2018 07:59 AM",4-30,C08097-2018,"1vUdcbVivdQ_GrJVIxkiwoXQ5OOLi1Q6p"
Request for extension to file SEC Form 17-Q,"Nov 13, 2018 01:31 PM",17-4,CR07089-2018,"1q2SwVLuLZ6xrclJI9GCZTeD2JqHdDnJa"
Results of Organizational Meeting of Board of Directors,"Jul 27, 2018 07:44 AM",4-25,C05085-2018,"1nRRaIJZFe-K9D5m9dbzXElvYmKI7xPWQ"
Information Statement,"Jul 03, 2018 11:17 AM",17-5,CR04237-2018,"1Tvii4RYnYVCezUEhf3OUFKDUvAetdpE4"
Information Statement (preliminary),"Jun 18, 2018 01:18 PM",17-5,CR04066-2018,"19QcvEPSRcO_XhyFcZgTI5BhPCynWc1YR"
Amended General Information Sheet (GIS) For The Year 2017,"Jan 31, 2018 10:02 AM",-,-,"1zUQPgDc93QkfPnMfKljrqPVgqgLrH_9r"
Revised Manual on Corporate Governance 2016,"Nov 16, 2017 01:48 PM",-,-,"17d3dKRW2Mj_fslLa6VDKl-CQmMbz1i2h"
Results of Organizational Meeting of Board of Directors,"Aug 01, 2017 07:49 AM",4-25,C04726-2017,"1I0Fh_wyNSt_oDXUWFRpaIFmZEFm90Yec"
Generation Information Sheet (GIS) For The Year 2017,"Aug 23, 2017",-,-,"1D2spNZiLBG73wKdyPDxBqMNrxew-akh1"
Information Statement,"Jun 30, 2017 01:27 PM",17-5,CR04722-2017,"0B19lvllezMF1Q3p6TVlKblNBaFU"
[Amend-1]Information Statement,"Jun 23, 2016 04:17 PM",17-5,CR04226-2016,"0B19lvllezMF1djEwSUFXM1J5LXc"
Information Statement,"Jun 08, 2016 01:05 PM",17-5,CR04025-2016,"0B19lvllezMF1aFNBVGVqZDdCSlFCSjdraXd4TFBhSGxhaU1R"
Consolidated Changes in the ACGR for 2014,-,-,-,"1Ea0ZlJlEeDSUPxFOXIFmFVU4FZ_eky3Y"
Material Information/Transactions,"Dec 19, 2014 09:05 AM",4-30,C06666-2014,"0B6iNZOlXAfIQc29pUjRTN2NSbjA,0B6iNZOlXAfIQMFd3c29KcGFSYW8"
"Other SEC Forms, Reports and Requirements","Jul 31, 2014 03:06 PM",17-18,CR05074-2014,"0B6iNZOlXAfIQMEVKQ3Q0MkFLc0k,0B6iNZOlXAfIQTnZ4enZrSW1NNjQ"
Results of Organizational Meeting of Board of Directors,"Jul 10, 2014 03:34 PM",4-25,C03757-2014,0B6iNZOlXAfIQUHVNMXcxcXRTMnc
Initial Statement of Beneficial Ownership of Securities,"Jul 10, 2014 02:33 PM",17-6,CR04451-2014,"0B6iNZOlXAfIQakd5empycks0Y1U,0B6iNZOlXAfIQQ0tHS0xBSEtyNGM"
Results of Annual or Special Stockholders' Meeting,"Jul 10, 2014 02:33 PM",4-24,C03752-2014,"0B6iNZOlXAfIQMTN6WjlERE1kNWM,0B6iNZOlXAfIQdjFydFdEc3JpRmc"
[Amend-1]Information Statement,"Jun 19, 2014 01:53 PM",17-5,CR03989-2014,"0B6iNZOlXAfIQaGtsUGFQUk84X1k,0B6iNZOlXAfIQNnk2SldHcUFJZXM"
Information Statement,"Jun 16, 2014 03:33 PM",17-5,CR03943-2014,"0B6iNZOlXAfIQbUNUZ0dvQlNwTkE,0B6iNZOlXAfIQVEZRMjl1U3hQSWs"
Notice of Annual or Special Stockholders' Meeting,"Jun 05, 2014 10:59 AM",7-1,C03065-2014,"0B6iNZOlXAfIQd25uNGprZjMtRDA,0B6iNZOlXAfIQc2c5SUl3QmtKdmc"
Information Statement,"Jun 05, 2014 08:28 AM",17-5,CR03799-2014,"0B6iNZOlXAfIQb0VIOC0xZ2t4QUE,0B6iNZOlXAfIQMXg3MlpWcExvVzA"
Statement of Changes in Beneficial Ownership of Securities,"Apr 10, 2014 02:05 PM",17-7,CR02145-2014,"0B6iNZOlXAfIQaEhQQW5VRno3SGM,0B6iNZOlXAfIQNERFaGR5WS0yOE0"
Statement of Changes in Beneficial Ownership of Securities,"Apr 10, 2014 02:05 PM",17-7,CR02144-2014,"0B6iNZOlXAfIQZVRVWFI2TVJ0YzA,0B6iNZOlXAfIQUUdjdFRZaFdtQ0U"
Compliance Report on Corporate Governance,"Mar 31, 2014 02:29 PM",CGR-1,CR01752-2014,"0B6iNZOlXAfIQbGxkdm51ODB6ZXc,0B6iNZOlXAfIQb192RzZLc00tMzg"
Statement of Changes in Beneficial Ownership of Securities,"Mar 06, 2014 03:08 PM",17-7,CR01315-2014,"0B6iNZOlXAfIQRHFMRFZlU2Iyblk,0B6iNZOlXAfIQRGZCeldrbmdCRVk"
Statement of Changes in Beneficial Ownership of Securities,"Feb 06, 2014 03:45 PM",17-7,CR00992-2014,"0B6iNZOlXAfIQa1hHMUJUZWRjQlk,0B6iNZOlXAfIQYnZ1ODN2RHQzNGM"
Statement of Changes in Beneficial Ownership of Securities,"Jan 10, 2014 11:20 AM",17-7,CR00194-2014,"0B6iNZOlXAfIQZm9uZUNTdTU3Rnc,0B6iNZOlXAfIQTnFVbGN5dG1HZVE"
Board approval of appointment of new stock transfer agent,"Dec 26, 2013 10:01 AM",Circular,9088-2013,0B6iNZOlXAfIQX28tMm9oTzRXam8
Supplemental disclosure on stock dividends,"Nov 28, 2013 12:52 PM",Circular,8545-2013,0B6iNZOlXAfIQVmtkNG9uOGxjbUk
Record and payment dates for stock dividends,"Nov 28, 2013 12:33 PM",Circular,8541-2013,0B6iNZOlXAfIQOVR4TXhrTF8yWkk
Initial Statement of Beneficial Ownership of Securities,"Nov 26, 2013 12:03 PM",Circular,8477-2013,"0B6iNZOlXAfIQalk0YUFtSWJzcW8,0B6iNZOlXAfIQTnZ3bnNucTNVb0k"
Procedure for updating stock certificates; effectivity date of change in name,"Nov 11, 2013 04:06 PM",Circular,8176-2013,0B6iNZOlXAfIQTTFkejZ5enN5OUU
Initial Statement of Beneficial Ownership of Securities,"Nov 08, 2013 01:23 PM",Circular,8117-2013,"0B6iNZOlXAfIQWU55UDM2bHJRU2s,0B6iNZOlXAfIQOWk5V0hEaVFweWc"
Statement of Changes in Beneficial Ownership of Securities,"Nov 08, 2013 09:25 AM",Circular,8107-2013,"0B6iNZOlXAfIQUGNHR0Y2ZDF3ejQ,0B6iNZOlXAfIQYXNwUTA2N2tsSVE"
Statement of Changes in Beneficial Ownership of Securities,"Nov 08, 2013 09:24 AM",Circular,8106-2013,"0B6iNZOlXAfIQc29mVnoxWFBPTVU,0B6iNZOlXAfIQa0w3bHdDUzFTLW8"
